playlist-header,流程
control-categories--slide,Slide Controls
prev-slide-btn-label,上一个程序
next-slide-btn-label,下一个程序
prev-subslide-btn-label,上一页
next-subslide-btn-label,下一页
jump-to-subslide-btn-label,跳去页
blank-btn-label,黑屏
unblank-btn-label,取消黑屏
edit-slide-btn-label,编辑程序
add-slide-btn-label,添加程序
control-categories--playlist,流程
open-playlist-btn,打开流程
new-playlist-btn,创新流程
save-playlist-btn,保存流程
playlist-name,现在没开流程
control-categories--slideshow,Windows
open-slideshow-btn,Open Slideshow
close-slideshow-btn,Close Slideshow
control-categories--playback,视频播放
preview-header,Preview
control-categories--language,语言
